,Indicador,Departamento,Código Departamento,Año,Dato Numérico
33,Cobertura bruta en educación primaria,Arauca,81,2006,121.49625
34,Cobertura bruta en educación primaria,Arauca,81,2007,85.325
35,Cobertura bruta en educación primaria,Arauca,81,2008,91.58375
36,Cobertura bruta en educación primaria,Arauca,81,2009,93.16125
37,Cobertura bruta en educación primaria,Arauca,81,2010,94.3
38,Cobertura bruta en educación primaria,Arauca,81,2011,92.24375
39,Cobertura bruta en educación primaria,Arauca,81,2012,94.935
40,Cobertura bruta en educación primaria,Arauca,81,2013,97.965
41,Cobertura bruta en educación primaria,Arauca,81,2014,96.74125000000001
42,Cobertura bruta en educación primaria,Arauca,81,2015,94.70125
43,Cobertura bruta en educación primaria,Arauca,81,2016,99.68875
44,Cobertura bruta en educación primaria,Arauca,81,2017,97.1725
45,Cobertura bruta en educación primaria,Arauca,81,2018,109.42999999999999
46,Cobertura bruta en educación primaria,Arauca,81,2019,115.725
47,Cobertura bruta en educación primaria,Arauca,81,2020,115.155
48,Cobertura bruta en educación primaria,Atlántico,8,2005,118.06958333333334
49,Cobertura bruta en educación primaria,Atlántico,8,2006,123.62374999999999
50,Cobertura bruta en educación primaria,Atlántico,8,2007,127.17125
51,Cobertura bruta en educación primaria,Atlántico,8,2008,122.57583333333334
52,Cobertura bruta en educación primaria,Atlántico,8,2009,117.74208333333333
53,Cobertura bruta en educación primaria,Atlántico,8,2010,121.06833333333333
54,Cobertura bruta en educación primaria,Atlántico,8,2011,118.98875
55,Cobertura bruta en educación primaria,Atlántico,8,2012,118.59083333333332
56,Cobertura bruta en educación primaria,Atlántico,8,2013,121.24958333333332
57,Cobertura bruta en educación primaria,Atlántico,8,2014,118.62625000000001
58,Cobertura bruta en educación primaria,Atlántico,8,2015,112.48958333333333
59,Cobertura bruta en educación primaria,Atlántico,8,2016,123.61
60,Cobertura bruta en educación primaria,Atlántico,8,2017,117.17416666666666
61,Cobertura bruta en educación primaria,Atlántico,8,2018,120.43041666666666
62,Cobertura bruta en educación primaria,Atlántico,8,2019,100.20791666666668
63,Cobertura bruta en educación primaria,Atlántico,8,2020,99.69291666666668
64,Cobertura bruta en educación primaria,Bogotá,11,2005,101.49
65,Cobertura bruta en educación primaria,Bogotá,11,2006,102.69
66,Cobertura bruta en educación primaria,Bogotá,11,2007,104.08
67,Cobertura bruta en educación primaria,Bogotá,11,2008,104.83
68,Cobertura bruta en educación primaria,Bogotá,11,2009,103.87
69,Cobertura bruta en educación primaria,Bogotá,11,2010,99.85
70,Cobertura bruta en educación primaria,Bogotá,11,2011,97.94
71,Cobertura bruta en educación primaria,Bogotá,11,2012,94.28
72,Cobertura bruta en educación primaria,Bogotá,11,2013,89.84
73,Cobertura bruta en educación primaria,Bogotá,11,2014,86.68
74,Cobertura bruta en educación primaria,Bogotá,11,2015,89.14
75,Cobertura bruta en educación primaria,Bogotá,11,2016,88.8
76,Cobertura bruta en educación primaria,Bogotá,11,2017,88.19
77,Cobertura bruta en educación primaria,Bogotá,11,2018,86.69
78,Cobertura bruta en educación primaria,Bogotá,11,2019,108.98
79,Cobertura bruta en educación primaria,Bogotá,11,2020,106.07
80,Cobertura bruta en educación primaria,Bolívar,13,2005,126.61978260869566
81,Cobertura bruta en educación primaria,Bolívar,13,2006,126.36608695652174
82,Cobertura bruta en educación primaria,Bolívar,13,2007,128.03804347826087
83,Cobertura bruta en educación primaria,Bolívar,13,2008,126.19826086956522
84,Cobertura bruta en educación primaria,Bolívar,13,2009,133.88826086956522
85,Cobertura bruta en educación primaria,Bolívar,13,2010,125.97282608695652
86,Cobertura bruta en educación primaria,Bolívar,13,2011,121.78021739130436
87,Cobertura bruta en educación primaria,Bolívar,13,2012,115.91543478260868
88,Cobertura bruta en educación primaria,Bolívar,13,2013,114.87717391304349
89,Cobertura bruta en educación primaria,Bolívar,13,2014,103.14956521739131
90,Cobertura bruta en educación primaria,Bolívar,13,2015,106.85782608695652
91,Cobertura bruta en educación primaria,Bolívar,13,2016,108.72217391304348
92,Cobertura bruta en educación primaria,Bolívar,13,2017,106.55347826086957
93,Cobertura bruta en educación primaria,Bolívar,13,2018,111.89510638297871
94,Cobertura bruta en educación primaria,Bolívar,13,2019,116.67872340425531
95,Cobertura bruta en educación primaria,Bolívar,13,2020,113.02021276595744
96,Cobertura bruta en educación primaria,Boyacá,15,2005,110.19306451612904
97,Cobertura bruta en educación primaria,Boyacá,15,2006,106.67927419354838
98,Cobertura bruta en educación primaria,Boyacá,15,2007,105.83846774193547
99,Cobertura bruta en educación primaria,Boyacá,15,2008,124.24024193548388
100,Cobertura bruta en educación primaria,Boyacá,15,2009,131.6191129032258
101,Cobertura bruta en educación primaria,Boyacá,15,2010,124.77814516129033
102,Cobertura bruta en educación primaria,Boyacá,15,2011,100.36048387096774
103,Cobertura bruta en educación primaria,Boyacá,15,2012,93.1349193548387
104,Cobertura bruta en educación primaria,Boyacá,15,2013,90.47508064516128
105,Cobertura bruta en educación primaria,Boyacá,15,2014,87.7141129032258
106,Cobertura bruta en educación primaria,Boyacá,15,2015,86.13241935483872
107,Cobertura bruta en educación primaria,Boyacá,15,2016,94.01048387096773
108,Cobertura bruta en educación primaria,Boyacá,15,2017,90.29717741935484
109,Cobertura bruta en educación primaria,Boyacá,15,2018,85.98959677419354
110,Cobertura bruta en educación primaria,Boyacá,15,2019,95.49185483870967
111,Cobertura bruta en educación primaria,Boyacá,15,2020,91.42540322580645
112,Cobertura bruta en educación primaria,Caldas,17,2005,122.48821428571429
113,Cobertura bruta en educación primaria,Caldas,17,2006,123.07035714285713
114,Cobertura bruta en educación primaria,Caldas,17,2007,119.08142857142857
115,Cobertura bruta en educación primaria,Caldas,17,2008,110.73678571428572
116,Cobertura bruta en educación primaria,Caldas,17,2009,112.82714285714285
117,Cobertura bruta en educación primaria,Caldas,17,2010,109.92178571428572
118,Cobertura bruta en educación primaria,Caldas,17,2011,107.95821428571428
119,Cobertura bruta en educación primaria,Caldas,17,2012,103.32392857142858
120,Cobertura bruta en educación primaria,Caldas,17,2013,101.36214285714286
121,Cobertura bruta en educación primaria,Caldas,17,2014,94.62107142857143
122,Cobertura bruta en educación primaria,Caldas,17,2015,92.35142857142857
123,Cobertura bruta en educación primaria,Caldas,17,2016,88.83321428571428
124,Cobertura bruta en educación primaria,Caldas,17,2017,84.74464285714285
125,Cobertura bruta en educación primaria,Caldas,17,2018,82.11142857142856
126,Cobertura bruta en educación primaria,Caldas,17,2019,98.04714285714286
127,Cobertura bruta en educación primaria,Caldas,17,2020,94.58714285714287
128,Cobertura bruta en educación primaria,Caquetá,18,2005,139.99882352941177
129,Cobertura bruta en educación primaria,Caquetá,18,2006,139.88941176470587
130,Cobertura bruta en educación primaria,Caquetá,18,2007,138.44882352941178
131,Cobertura bruta en educación primaria,Caquetá,18,2008,131.12764705882353
132,Cobertura bruta en educación primaria,Caquetá,18,2009,133.6935294117647
133,Cobertura bruta en educación primaria,Caquetá,18,2010,128.3735294117647
134,Cobertura bruta en educación primaria,Caquetá,18,2011,127.27117647058824
135,Cobertura bruta en educación primaria,Caquetá,18,2012,112.31176470588235
136,Cobertura bruta en educación primaria,Caquetá,18,2013,109.97882352941177
137,Cobertura bruta en educación primaria,Caquetá,18,2014,103.66823529411764
138,Cobertura bruta en educación primaria,Caquetá,18,2015,92.90588235294118
139,Cobertura bruta en educación primaria,Caquetá,18,2016,96.19176470588235
140,Cobertura bruta en educación primaria,Caquetá,18,2017,92.33352941176472
141,Cobertura bruta en educación primaria,Caquetá,18,2018,88.68117647058823
142,Cobertura bruta en educación primaria,Caquetá,18,2019,108.74058823529411
143,Cobertura bruta en educación primaria,Caquetá,18,2020,107.12529411764706
144,Cobertura bruta en educación primaria,Casanare,85,2005,125.234
145,Cobertura bruta en educación primaria,Casanare,85,2006,125.15299999999999
146,Cobertura bruta en educación primaria,Casanare,85,2007,124.027
147,Cobertura bruta en educación primaria,Casanare,85,2008,120.74000000000001
148,Cobertura bruta en educación primaria,Casanare,85,2009,121.072
149,Cobertura bruta en educación primaria,Casanare,85,2010,123.11
150,Cobertura bruta en educación primaria,Casanare,85,2011,119.771
151,Cobertura bruta en educación primaria,Casanare,85,2012,117.84700000000001
152,Cobertura bruta en educación primaria,Casanare,85,2013,117.80499999999999
153,Cobertura bruta en educación primaria,Casanare,85,2014,119.1025
154,Cobertura bruta en educación primaria,Casanare,85,2015,113.1475
155,Cobertura bruta en educación primaria,Casanare,85,2016,108.752
156,Cobertura bruta en educación primaria,Casanare,85,2017,112.8445
157,Cobertura bruta en educación primaria,Casanare,85,2018,102.047
158,Cobertura bruta en educación primaria,Casanare,85,2019,97.126
159,Cobertura bruta en educación primaria,Casanare,85,2020,96.74600000000001
160,Cobertura bruta en educación primaria,Cauca,19,2005,135.57238095238094
161,Cobertura bruta en educación primaria,Cauca,19,2006,132.18119047619047
162,Cobertura bruta en educación primaria,Cauca,19,2007,130.00166666666667
163,Cobertura bruta en educación primaria,Cauca,19,2008,138.69238095238094
164,Cobertura bruta en educación primaria,Cauca,19,2009,144.2290476190476
165,Cobertura bruta en educación primaria,Cauca,19,2010,133.3895238095238
166,Cobertura bruta en educación primaria,Cauca,19,2011,117.69880952380953
167,Cobertura bruta en educación primaria,Cauca,19,2012,121.38928571428572
168,Cobertura bruta en educación primaria,Cauca,19,2013,125.20523809523809
169,Cobertura bruta en educación primaria,Cauca,19,2014,117.11571428571428
170,Cobertura bruta en educación primaria,Cauca,19,2015,113.60214285714285
171,Cobertura bruta en educación primaria,Cauca,19,2016,110.88738095238097
172,Cobertura bruta en educación primaria,Cauca,19,2017,107.66428571428573
173,Cobertura bruta en educación primaria,Cauca,19,2018,103.6393023255814
174,Cobertura bruta en educación primaria,Cauca,19,2019,104.56
175,Cobertura bruta en educación primaria,Cauca,19,2020,101.04116279069767
176,Cobertura bruta en educación primaria,Cesar,20,2005,132.68653846153845
177,Cobertura bruta en educación primaria,Cesar,20,2006,134.92307692307693
178,Cobertura bruta en educación primaria,Cesar,20,2007,137.90846153846152
179,Cobertura bruta en educación primaria,Cesar,20,2008,144.31807692307692
180,Cobertura bruta en educación primaria,Cesar,20,2009,152.81115384615384
181,Cobertura bruta en educación primaria,Cesar,20,2010,142.7676923076923
182,Cobertura bruta en educación primaria,Cesar,20,2011,138.2096153846154
183,Cobertura bruta en educación primaria,Cesar,20,2012,135.23807692307693
184,Cobertura bruta en educación primaria,Cesar,20,2013,134.50307692307692
185,Cobertura bruta en educación primaria,Cesar,20,2014,140.18653846153845
186,Cobertura bruta en educación primaria,Cesar,20,2015,139.18423076923077
187,Cobertura bruta en educación primaria,Cesar,20,2016,137.1030769230769
188,Cobertura bruta en educación primaria,Cesar,20,2017,137.86384615384617
189,Cobertura bruta en educación primaria,Cesar,20,2018,140.53846153846155
190,Cobertura bruta en educación primaria,Cesar,20,2019,115.02115384615385
191,Cobertura bruta en educación primaria,Cesar,20,2020,110.38653846153846
192,Cobertura bruta en educación primaria,Chocó,27,2005,129.2316129032258
193,Cobertura bruta en educación primaria,Chocó,27,2006,137.10129032258067
194,Cobertura bruta en educación primaria,Chocó,27,2007,136.8558064516129
195,Cobertura bruta en educación primaria,Chocó,27,2008,146.90225806451613
196,Cobertura bruta en educación primaria,Chocó,27,2009,150.01
197,Cobertura bruta en educación primaria,Chocó,27,2010,140.88
198,Cobertura bruta en educación primaria,Chocó,27,2011,152.60903225806453
199,Cobertura bruta en educación primaria,Chocó,27,2012,134.0509677419355
200,Cobertura bruta en educación primaria,Chocó,27,2013,128.24709677419355
201,Cobertura bruta en educación primaria,Chocó,27,2014,128.7083870967742
202,Cobertura bruta en educación primaria,Chocó,27,2015,133.54612903225808
203,Cobertura bruta en educación primaria,Chocó,27,2016,130.22451612903225
204,Cobertura bruta en educación primaria,Chocó,27,2017,123.17451612903226
205,Cobertura bruta en educación primaria,Chocó,27,2018,123.48870967741935
206,Cobertura bruta en educación primaria,Chocó,27,2019,124.05677419354839
207,Cobertura bruta en educación primaria,Chocó,27,2020,115.80645161290323
208,Cobertura bruta en educación primaria,Colombia,1,2005,118.09
209,Cobertura bruta en educación primaria,Colombia,1,2006,120.22
210,Cobertura bruta en educación primaria,Colombia,1,2007,119.19
211,Cobertura bruta en educación primaria,Colombia,1,2008,120.07
212,Cobertura bruta en educación primaria,Colombia,1,2009,119.82
213,Cobertura bruta en educación primaria,Colombia,1,2010,117.4
214,Cobertura bruta en educación primaria,Colombia,1,2011,114.52
215,Cobertura bruta en educación primaria,Colombia,1,2012,110.99
216,Cobertura bruta en educación primaria,Colombia,1,2013,110.2
217,Cobertura bruta en educación primaria,Colombia,1,2014,106.54
218,Cobertura bruta en educación primaria,Colombia,1,2015,105.2
219,Cobertura bruta en educación primaria,Colombia,1,2016,104.46
220,Cobertura bruta en educación primaria,Colombia,1,2017,102.09
221,Cobertura bruta en educación primaria,Colombia,1,2018,100.78
222,Cobertura bruta en educación primaria,Colombia,1,2019,109.36
223,Cobertura bruta en educación primaria,Colombia,1,2020,106.51
224,Cobertura bruta en educación primaria,Cundinamarca,25,2005,117.17675213675214
225,Cobertura bruta en educación primaria,Cundinamarca,25,2006,114.70666666666666
226,Cobertura bruta en educación primaria,Cundinamarca,25,2007,113.22478632478632
227,Cobertura bruta en educación primaria,Cundinamarca,25,2008,111.18273504273503
228,Cobertura bruta en educación primaria,Cundinamarca,25,2009,110.0697435897436
229,Cobertura bruta en educación primaria,Cundinamarca,25,2010,105.7156818181818
230,Cobertura bruta en educación primaria,Cundinamarca,25,2011,107.74179487179487
231,Cobertura bruta en educación primaria,Cundinamarca,25,2012,102.47700854700854
232,Cobertura bruta en educación primaria,Cundinamarca,25,2013,101.38743589743589
233,Cobertura bruta en educación primaria,Cundinamarca,25,2014,99.4640170940171
234,Cobertura bruta en educación primaria,Cundinamarca,25,2015,97.98957264957265
235,Cobertura bruta en educación primaria,Cundinamarca,25,2016,97.27119658119658
236,Cobertura bruta en educación primaria,Cundinamarca,25,2017,94.35051282051282
237,Cobertura bruta en educación primaria,Cundinamarca,25,2018,92.39145299145298
238,Cobertura bruta en educación primaria,Cundinamarca,25,2019,108.08333333333333
239,Cobertura bruta en educación primaria,Cundinamarca,25,2020,101.11094017094017
240,Cobertura bruta en educación primaria,Córdoba,23,2005,135.26586206896553
241,Cobertura bruta en educación primaria,Córdoba,23,2006,146.19862068965517
242,Cobertura bruta en educación primaria,Córdoba,23,2007,137.84103448275863
243,Cobertura bruta en educación primaria,Córdoba,23,2008,141.03206896551725
244,Cobertura bruta en educación primaria,Córdoba,23,2009,144.55896551724138
245,Cobertura bruta en educación primaria,Córdoba,23,2010,130.58827586206897
246,Cobertura bruta en educación primaria,Córdoba,23,2011,122.4451724137931
247,Cobertura bruta en educación primaria,Córdoba,23,2012,117.18655172413793
248,Cobertura bruta en educación primaria,Córdoba,23,2013,121.42965517241379
249,Cobertura bruta en educación primaria,Córdoba,23,2014,116.11689655172414
250,Cobertura bruta en educación primaria,Córdoba,23,2015,108.51310344827587
251,Cobertura bruta en educación primaria,Córdoba,23,2016,110.40689655172415
252,Cobertura bruta en educación primaria,Córdoba,23,2017,104.53551724137932
253,Cobertura bruta en educación primaria,Córdoba,23,2018,101.29548387096774
254,Cobertura bruta en educación primaria,Córdoba,23,2019,111.7290322580645
255,Cobertura bruta en educación primaria,Córdoba,23,2020,104.77741935483871
256,Cobertura bruta en educación primaria,Guainía,94,2005,115.72999999999999
257,Cobertura bruta en educación primaria,Guainía,94,2006,122.7
258,Cobertura bruta en educación primaria,Guainía,94,2007,127.675
259,Cobertura bruta en educación primaria,Guainía,94,2008,141.95
260,Cobertura bruta en educación primaria,Guainía,94,2009,149.01999999999998
261,Cobertura bruta en educación primaria,Guainía,94,2010,130.17
262,Cobertura bruta en educación primaria,Guainía,94,2011,161.2
263,Cobertura bruta en educación primaria,Guainía,94,2012,142.4
264,Cobertura bruta en educación primaria,Guainía,94,2013,189.57999999999998
265,Cobertura bruta en educación primaria,Guainía,94,2014,135.695
266,Cobertura bruta en educación primaria,Guainía,94,2015,135.915
267,Cobertura bruta en educación primaria,Guainía,94,2016,139.54
268,Cobertura bruta en educación primaria,Guainía,94,2017,146.47
269,Cobertura bruta en educación primaria,Guainía,94,2018,153.905
270,Cobertura bruta en educación primaria,Guainía,94,2019,103.58500000000001
271,Cobertura bruta en educación primaria,Guainía,94,2020,106.66499999999999
272,Cobertura bruta en educación primaria,Guaviare,95,2005,106.372
273,Cobertura bruta en educación primaria,Guaviare,95,2006,108.208
274,Cobertura bruta en educación primaria,Guaviare,95,2007,103.10999999999999
275,Cobertura bruta en educación primaria,Guaviare,95,2008,109.23800000000001
276,Cobertura bruta en educación primaria,Guaviare,95,2009,110.63
277,Cobertura bruta en educación primaria,Guaviare,95,2010,95.45
278,Cobertura bruta en educación primaria,Guaviare,95,2011,84.724
279,Cobertura bruta en educación primaria,Guaviare,95,2012,75.388
280,Cobertura bruta en educación primaria,Guaviare,95,2013,71.91999999999999
281,Cobertura bruta en educación primaria,Guaviare,95,2014,68.998
282,Cobertura bruta en educación primaria,Guaviare,95,2015,66.866
283,Cobertura bruta en educación primaria,Guaviare,95,2016,66.622
284,Cobertura bruta en educación primaria,Guaviare,95,2017,69.156
285,Cobertura bruta en educación primaria,Guaviare,95,2018,73.52
286,Cobertura bruta en educación primaria,Guaviare,95,2019,97.75399999999999
287,Cobertura bruta en educación primaria,Guaviare,95,2020,92.644
288,Cobertura bruta en educación primaria,Huila,41,2005,118.85842105263157
289,Cobertura bruta en educación primaria,Huila,41,2006,115.84552631578947
290,Cobertura bruta en educación primaria,Huila,41,2007,116.30894736842104
291,Cobertura bruta en educación primaria,Huila,41,2008,114.80842105263159
292,Cobertura bruta en educación primaria,Huila,41,2009,112.23736842105264
293,Cobertura bruta en educación primaria,Huila,41,2010,115.18
294,Cobertura bruta en educación primaria,Huila,41,2011,112.20710526315789
295,Cobertura bruta en educación primaria,Huila,41,2012,109.06342105263157
296,Cobertura bruta en educación primaria,Huila,41,2013,108.8157894736842
297,Cobertura bruta en educación primaria,Huila,41,2014,103.23236842105263
298,Cobertura bruta en educación primaria,Huila,41,2015,101.03289473684211
299,Cobertura bruta en educación primaria,Huila,41,2016,96.90184210526316
300,Cobertura bruta en educación primaria,Huila,41,2017,92.84921052631579
301,Cobertura bruta en educación primaria,Huila,41,2018,92.82947368421053
302,Cobertura bruta en educación primaria,Huila,41,2019,104.78342105263158
303,Cobertura bruta en educación primaria,Huila,41,2020,102.73894736842105
304,Cobertura bruta en educación primaria,La Guajira,44,2005,101.685625
305,Cobertura bruta en educación primaria,La Guajira,44,2006,103.00874999999999
306,Cobertura bruta en educación primaria,La Guajira,44,2007,92.9875
307,Cobertura bruta en educación primaria,La Guajira,44,2008,102.246875
308,Cobertura bruta en educación primaria,La Guajira,44,2009,115.66375000000001
309,Cobertura bruta en educación primaria,La Guajira,44,2010,142.5
310,Cobertura bruta en educación primaria,La Guajira,44,2011,111.8925
311,Cobertura bruta en educación primaria,La Guajira,44,2012,116.7925
312,Cobertura bruta en educación primaria,La Guajira,44,2013,115.96875
313,Cobertura bruta en educación primaria,La Guajira,44,2014,109.7225
314,Cobertura bruta en educación primaria,La Guajira,44,2015,107.931875
315,Cobertura bruta en educación primaria,La Guajira,44,2016,107.51
316,Cobertura bruta en educación primaria,La Guajira,44,2017,103.565
317,Cobertura bruta en educación primaria,La Guajira,44,2018,105.98125
318,Cobertura bruta en educación primaria,La Guajira,44,2019,112.160625
319,Cobertura bruta en educación primaria,La Guajira,44,2020,111.753125
320,Cobertura bruta en educación primaria,Magdalena,47,2005,134.6848387096774
321,Cobertura bruta en educación primaria,Magdalena,47,2006,137.05870967741936
322,Cobertura bruta en educación primaria,Magdalena,47,2007,148.05645161290323
323,Cobertura bruta en educación primaria,Magdalena,47,2008,152.32870967741937
324,Cobertura bruta en educación primaria,Magdalena,47,2009,156.84
325,Cobertura bruta en educación primaria,Magdalena,47,2010,138.57
326,Cobertura bruta en educación primaria,Magdalena,47,2011,139.70548387096773
327,Cobertura bruta en educación primaria,Magdalena,47,2012,134.3816129032258
328,Cobertura bruta en educación primaria,Magdalena,47,2013,149.80354838709678
329,Cobertura bruta en educación primaria,Magdalena,47,2014,139.76548387096773
330,Cobertura bruta en educación primaria,Magdalena,47,2015,127.68709677419355
331,Cobertura bruta en educación primaria,Magdalena,47,2016,125.20612903225806
332,Cobertura bruta en educación primaria,Magdalena,47,2017,128.9725806451613
333,Cobertura bruta en educación primaria,Magdalena,47,2018,129.2274193548387
334,Cobertura bruta en educación primaria,Magdalena,47,2019,122.00935483870968
335,Cobertura bruta en educación primaria,Magdalena,47,2020,114.67774193548387
336,Cobertura bruta en educación primaria,Meta,50,2005,128.73666666666665
337,Cobertura bruta en educación primaria,Meta,50,2006,126.903
338,Cobertura bruta en educación primaria,Meta,50,2007,119.02966666666666
339,Cobertura bruta en educación primaria,Meta,50,2008,115.46433333333334
340,Cobertura bruta en educación primaria,Meta,50,2009,124.24600000000001
341,Cobertura bruta en educación primaria,Meta,50,2010,114.73
342,Cobertura bruta en educación primaria,Meta,50,2011,120.8
343,Cobertura bruta en educación primaria,Meta,50,2012,117.78866666666666
344,Cobertura bruta en educación primaria,Meta,50,2013,124.77399999999999
345,Cobertura bruta en educación primaria,Meta,50,2014,126.18933333333332
346,Cobertura bruta en educación primaria,Meta,50,2015,117.35133333333333
347,Cobertura bruta en educación primaria,Meta,50,2016,118.13333333333334
348,Cobertura bruta en educación primaria,Meta,50,2017,112.75166666666668
349,Cobertura bruta en educación primaria,Meta,50,2018,108.58633333333334
350,Cobertura bruta en educación primaria,Meta,50,2019,109.35033333333334
351,Cobertura bruta en educación primaria,Meta,50,2020,109.09466666666667
352,Cobertura bruta en educación primaria,Nariño,52,2005,124.98384615384614
353,Cobertura bruta en educación primaria,Nariño,52,2006,124.91753846153847
354,Cobertura bruta en educación primaria,Nariño,52,2007,142.28076923076924
355,Cobertura bruta en educación primaria,Nariño,52,2008,135.21015384615384
356,Cobertura bruta en educación primaria,Nariño,52,2009,131.78907692307695
357,Cobertura bruta en educación primaria,Nariño,52,2010,124.16
358,Cobertura bruta en educación primaria,Nariño,52,2011,111.57876923076923
359,Cobertura bruta en educación primaria,Nariño,52,2012,110.23030769230769
360,Cobertura bruta en educación primaria,Nariño,52,2013,112.91184615384614
361,Cobertura bruta en educación primaria,Nariño,52,2014,98.41984615384615
362,Cobertura bruta en educación primaria,Nariño,52,2015,90.18738461538462
363,Cobertura bruta en educación primaria,Nariño,52,2016,85.89138461538461
364,Cobertura bruta en educación primaria,Nariño,52,2017,85.94307692307693
365,Cobertura bruta en educación primaria,Nariño,52,2018,78.42323076923077
366,Cobertura bruta en educación primaria,Nariño,52,2019,98.88015384615385
367,Cobertura bruta en educación primaria,Nariño,52,2020,96.87
368,Cobertura bruta en educación primaria,Norte de Santander,54,2005,121.94
369,Cobertura bruta en educación primaria,Norte de Santander,54,2006,128.97390243902439
370,Cobertura bruta en educación primaria,Norte de Santander,54,2007,136.18975609756097
371,Cobertura bruta en educación primaria,Norte de Santander,54,2008,130.78926829268292
372,Cobertura bruta en educación primaria,Norte de Santander,54,2009,114.59146341463415
373,Cobertura bruta en educación primaria,Norte de Santander,54,2010,112.52
374,Cobertura bruta en educación primaria,Norte de Santander,54,2011,122.83487804878048
375,Cobertura bruta en educación primaria,Norte de Santander,54,2012,115.29512195121953
376,Cobertura bruta en educación primaria,Norte de Santander,54,2013,118.08658536585367
377,Cobertura bruta en educación primaria,Norte de Santander,54,2014,115.59951219512195
378,Cobertura bruta en educación primaria,Norte de Santander,54,2015,110.11365853658536
379,Cobertura bruta en educación primaria,Norte de Santander,54,2016,117.38439024390244
380,Cobertura bruta en educación primaria,Norte de Santander,54,2017,115.01682926829267
381,Cobertura bruta en educación primaria,Norte de Santander,54,2018,116.74365853658536
382,Cobertura bruta en educación primaria,Norte de Santander,54,2019,107.61487804878048
383,Cobertura bruta en educación primaria,Norte de Santander,54,2020,102.19975609756099
384,Cobertura bruta en educación primaria,Putumayo,86,2005,123.45785714285715
385,Cobertura bruta en educación primaria,Putumayo,86,2006,130.98642857142858
386,Cobertura bruta en educación primaria,Putumayo,86,2007,136.11857142857144
387,Cobertura bruta en educación primaria,Putumayo,86,2008,145.32357142857143
388,Cobertura bruta en educación primaria,Putumayo,86,2009,127.02357142857143
389,Cobertura bruta en educación primaria,Putumayo,86,2010,113.34
390,Cobertura bruta en educación primaria,Putumayo,86,2011,111.39571428571428
391,Cobertura bruta en educación primaria,Putumayo,86,2012,106.07285714285715
392,Cobertura bruta en educación primaria,Putumayo,86,2013,102.06642857142856
393,Cobertura bruta en educación primaria,Putumayo,86,2014,101.02357142857143
394,Cobertura bruta en educación primaria,Putumayo,86,2015,98.0307142857143
395,Cobertura bruta en educación primaria,Putumayo,86,2016,94.57357142857143
396,Cobertura bruta en educación primaria,Putumayo,86,2017,96.96357142857143
397,Cobertura bruta en educación primaria,Putumayo,86,2018,90.78428571428572
398,Cobertura bruta en educación primaria,Putumayo,86,2019,96.33785714285715
399,Cobertura bruta en educación primaria,Putumayo,86,2020,95.7807142857143
400,Cobertura bruta en educación primaria,Quindío,63,2005,136.28076923076924
401,Cobertura bruta en educación primaria,Quindío,63,2006,134.19076923076923
402,Cobertura bruta en educación primaria,Quindío,63,2007,130.24307692307693
